"count","CDTA2020","Mt Strada","ei_mts","diff","ei_reg1","diff_reg1"
1419,"MN12",102540.653182569,850.283173558327,568.716826441673,1113.2018562005,305.798143799501
178,"MN64",6278.21094703501,52.0599095346998,125.9400904653,969.694678018022,-791.694678018022
1598,"QN01",199616.912298057,1655.25473474904,-57.2547347490429,1257.92226522657,340.077734773432
1222,"QN02",169265.08407721,1403.57261627287,-181.572616272874,1212.67403424988,9.3259657501153
1546,"QN03",131426.331069376,1089.80774358665,456.192256413354,1156.26436352065,389.735636479346
1576,"QN04",108219.723982083,897.374919050486,678.625080949514,1121.66816358072,454.33183641928
1420,"QN05",263095.454532229,2181.62875976748,-761.628759767475,1352.55550182027,67.4444981797269
956,"QN06",121850.448635593,1010.4030250413,-54.4030250412987,1141.98872460307,-185.98872460307
2290,"QN07",421208.47114531,3492.72668409301,-1202.72668409301,1588.26895684091,701.731043159088
1148,"QN08",248101.077603389,2057.29303530233,-909.293035302326,1330.20202032022,-182.202020320216
1143,"QN09",171304.690978887,1420.48535649193,-277.485356491929,1215.71466177048,-72.7146617704805
1085,"QN10",253430.987806929,2101.48948638772,-1016.48948638772,1338.14780224215,-253.147802242147
643,"QN11",343780.790083541,2850.68421282802,-2207.68421282802,1472.84047025421,-829.840470254212
2641,"QN12",412375.189435164,3419.47972718057,-778.479727180569,1575.10038036524,1065.89961963476
1478,"QN13",511145.141328306,4238.495654438,-2760.495654438,1722.34573126463,-244.345731264631
733,"QN14",230338.603324128,1910.00381359699,-1177.00381359699,1303.72188432784,-570.721884327837
1,"QN80",380.897080725551,3.15845831430182,-2.15845831430182,960.903015847851,-959.903015847851
48,"QN81",21687.6499153552,179.83739350887,-131.83739350887,992.666930252263,-944.666930252263
44,"QN82",11293.2094302949,93.6450632604545,-49.6450632604545,977.170992395764,-933.170992395764
3,"QN83",9047.19701372696,75.0207761495602,-72.0207761495602,973.822657400524,-970.822657400524
2,"QN84",9754.23972689988,80.8836851845512,-78.8836851845512,974.876710282059,-972.876710282059
1103,"SI01",464651.058133886,3852.95942677374,-2749.95942677374,1653.03277258146,-550.032772581461
603,"SI02",528391.587353879,4381.50588895559,-3778.50588895559,1748.05657700393,-1145.05657700393
560,"SI03",662650.275847544,5494.79998439031,-4934.79998439031,1948.20821542864,-1388.20821542864
0,"SI95",18605.3416988216,154.278410501683,-154.278410501683,988.071853042804,-988.071853042804
