"count","PrimaryKey"
11,1782721.21201
8,1631120.94867
30,1789145.93115
23,1875210.17292
1,1631231.56286
10,1653144.03898
8,1650702.15616
7,1639605.46706
41,2244629.20688
28,1876487.95262
6,2039940.86525
20,1672665.73158
7,1789096.27985
18,1817783.42287
7,2176848.63811
26,1592924.5049
17,1686416.84496
11,1861629.16291
22,1952887.6912
42,2282665.45083
14,1626697.9683
30,1747894.63072
43,1900352.04707
14,1864085.2114
21,1954536.48271
42,2024074.54922
75,3265655.28984
17,1801875.99766
27,1188358.70577
44,1869357.42136
55,2042543.2286
38,1831958.58377
63,1699560.0046
11,1566888.49538
20,2240975.58807
24,1796855.91879
39,1830663.38699
13,1479845.46111
11,1556707.69228
56,1508724.40333
39,1621224.21195
84,1879388.28821
25,1676352.2671
42,1629553.01016
148,2672111.29576
37,1605933.97442
19,1661400.06561
42,2051102.90373
88,2321085.5266
112,2709111.053
31,2090419.05296
52,1900792.30036
43,1950813.74501
64,1603786.82889
35,1759315.49788
7,1214786.70733
12,1677791.57914
14,1448961.07677
7,1872516.86518
8,1421504.2498
5,1637144.15763
19,1602832.97102
45,1844400.69215
5,1668038.31559
2,1210060.37147
7,1690994.89617
36,1540219.39146
5,1462012.23653
15,1326238.80432
44,1914338.7665
54,1813472.12402
59,1982798.07992
30,2086280.64758
42,1651198.26302
39,1788251.79876
75,1720940.20759
23,1629832.70131
16,1954432.49534
36,1653944.06824
32,1390018.25042
9,1634622.22894
46,1964536.01223
5,682166.171747
12,1325276.21051
42,2884623.99201
49,1568167.54784
34,1692236.87829
40,2207823.45836
55,1251776.3923
26,1828803.46249
13,1944076.81204
48,1631792.29647
19,827548.26405
8,1629908.76233
24,842620.153541
40,1001578.21296
17,1536082.40082
10,1640625.70349
24,1828910.75218
28,1670599.18393
1,1583340.29302
22,2175833.76289
12,2272270.87095
72,2218401.18882
20,1820227.97573
41,1560974.43792
53,2402726.4967
22,2172955.59358
17,949187.755425
34,723328.31998
45,2316967.00336
19,873437.309713
23,1534114.60832
50,2403938.30741
10,630566.077199
33,1884434.64686
27,1939179.51365
20,1882378.33665
18,1821034.90084
50,1011499.0009
15,2219376.18942
73,3761013.15701
6,1679294.23092
24,1743090.05834
20,1623632.5637
23,2386683.30726
26,1775765.14284
29,1476104.39524
26,1650722.07247
33,1869641.92027
22,2302072.6405
31,2007367.81961
27,2029245.44711
25,1922995.99228
18,1308603.12123
36,2290673.04512
14,1199795.08715
13,1484400.31925
32,2103189.95701
7,1585195.93855
8,1583994.69065
12,1721777.32964
14,2390486.90133
33,1469451.89068
6,1374739.85735
15,1592386.73312
16,1147477.96272
19,1309390.61735
23,1617854.14256
39,2253099.48327
54,2997105.66378
14,2276026.94973
14,2076614.87284
37,2014820.49348
83,1230343.78835
22,844998.055145
68,1496180.51513
131,2316635.89124
5,1546920.96862
53,1911640.12485
68,1876123.37436
36,1913241.96981
19,1775383.38236
98,1913172.89392
46,1701419.36815
50,1859020.4318
22,1623732.57176
28,1498730.12143
57,1649123.53347
30,1580389.16981
68,2120846.30477
13,3749394.03577
6,2112654.31941
15,2352448.77487
55,2137395.28488
47,1709061.34642
23,1866262.0029
7,2213959.93095
23,1437697.84582
91,1830580.34031
20,2240965.76263
23,1620253.94103
11,1473337.11056
23,1528977.84171
51,1629557.53553
18,2943687.10391
1,1645285.38797
11,2363416.36209
18,4044798.61859
6,1827884.21776
8,1853858.03035
9,2111656.29514
15,1962757.67876
18,2477580.95544
10,2059465.94698
69,5627808.73823
38,5824785.7084
22,1221365.63438
34,1390289.33571
54,1767827.22414
67,1669725.6763
36,1475828.66396
4,2442153.30417
2,2070613.56812
32,1842457.09807
24,1549455.28935
21,1780244.84323
34,2174921.35024
43,2719007.57265
5,1368119.18459
13,2317297.21089
20,2271701.74476
4,2772036.19856
7,1693386.28745
15,1547771.95697
14,2889534.60593
13,4160670.34182
25,2465973.81331
6,2001637.09821
39,1451117.06511
26,2295318.59256
17,1387032.07428
14,1758572.34073
24,1818395.55897
9,2085109.04131
61,2410955.79762
21,1850016.99292
46,2083264.21184
33,3088389.73388
62,3090324.2368
14,6525351.50849
4,3311050.03003
83,3386397.2914
41,1908884.10094
32,6052323.92981
9,2015272.50615
9,2275552.29931
6,2037041.56467
12,1980421.8126
19,2176840.44506
17,2434847.44845
12,3780661.69835
26,9833175.47477
26,1791170.4772
53,1054250.20194
19,686266.922801
47,682700.608794
31,1819284.59427
1,1901478.62255
7,2141522.07749
9,2073990.5497
6,2068075.47219
36,4618712.50068
29,1571444.24508
59,6065854.0901
8,2379227.1195
14,3230544.23454
62,2712076.55098
22,1827456.07323
31,1653273.23607
36,2202647.74585
11,1221917.00033
36,1548008.02436
46,1756872.76416
171,1755149.55036
18,1786238.05485
151,1911310.53405
145,1875481.5741
116,1690644.76183
24,1451580.213
12,1451352.6446
11,1751816.24583
67,3151751.26329
6,1355748.36152
33,1385789.94038
11,1338120.98205
9,1817406.74758
7,1690333.17495
22,863635.761723
34,642013.898016
30,999997.936161
10,2935620.86127
65,3723765.58143
8,4116709.28897
7,5511490.99691
12,1688804.09647
15,2137199.17009
34,1805457.0113
9,4816036.10463
15,1819154.07221
9,5271319.52375
14,6340103.09307
35,1224202.44921
28,2073445.92814
21,1928980.63637
32,3362669.17217
2,887313.857546
